Rank,institution,latitude,longitude,location code,location,isr_score,isr_rank
33,The University of Melbourne,-37.7983,144.961,AU,Australia,99.8,30
57,Monash University,-37.9145,145.135,AU,Australia,100,18
190,RMIT University,-37.8083,144.9639,AU,Australia,93.4,91
266,Deakin University,-37.8445,145.1123,AU,Australia,80.5,155
316,La Trobe University,-37.7207,145.0472,AU,Australia,99.4,42
297,Swinburne University of Technology,-37.8222,145.039,AU,Australia,72.2,191
808,Australian Catholic University,-37.8072,144.9779,AU,Australia,49.5,295
752,Victoria University ,-37.7937,144.8985,AU,Australia,77.2,167
